A3790,"Whooping cough, unspecified species without pneumonia","Whooping cough, unspecified species without pneumonia","Whooping cough, unspecified species"
A3791,"Whooping cough, unspecified species with pneumonia","Whooping cough, unspecified species with pneumonia","Whooping cough, unspecified species"
A380,Scarlet fever with otitis media,Scarlet fever with otitis media,Scarlet fever
A381,Scarlet fever with myocarditis,Scarlet fever with myocarditis,Scarlet fever
A388,Scarlet fever with other complications,Scarlet fever with other complications,Scarlet fever
A389,"Scarlet fever, uncomplicated","Scarlet fever, uncomplicated",Scarlet fever
A390,Meningococcal meningitis,Meningococcal meningitis,Meningococcal infection
A391,Waterhouse-Friderichsen syndrome,Waterhouse-Friderichsen syndrome,Meningococcal infection
A392,Acute meningococcemia,Acute meningococcemia,Meningococcal infection
A393,Chronic meningococcemia,Chronic meningococcemia,Meningococcal infection
A394,"Meningococcemia, unspecified","Meningococcemia, unspecified",Meningococcal infection
A3950,"Meningococcal carditis, unspecified","Meningococcal carditis, unspecified",Meningococcal heart disease
A3951,Meningococcal endocarditis,Meningococcal endocarditis,Meningococcal heart disease
A3952,Meningococcal myocarditis,Meningococcal myocarditis,Meningococcal heart disease
A3953,Meningococcal pericarditis,Meningococcal pericarditis,Meningococcal heart disease
A3981,Meningococcal encephalitis,Meningococcal encephalitis,Other meningococcal infections
A3982,Meningococcal retrobulbar neuritis,Meningococcal retrobulbar neuritis,Other meningococcal infections
A3983,Meningococcal arthritis,Meningococcal arthritis,Other meningococcal infections
A3984,Postmeningococcal arthritis,Postmeningococcal arthritis,Other meningococcal infections
A3989,Other meningococcal infections,Other meningococcal infections,Other meningococcal infections
A399,"Meningococcal infection, unspecified","Meningococcal infection, unspecified","Meningococcal infection, unspecified"
A400,"Sepsis due to streptococcus, group A","Sepsis due to streptococcus, group A",Streptococcal sepsis
A401,"Sepsis due to streptococcus, group B","Sepsis due to streptococcus, group B",Streptococcal sepsis
A403,Sepsis due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae,Streptococcal sepsis
A408,Other streptococcal sepsis,Other streptococcal sepsis,Streptococcal sepsis
A409,"Streptococcal sepsis, unspecified","Streptococcal sepsis, unspecified",Streptococcal sepsis
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,Sepsis due to Methicillin susceptible Staphylococcus aureus,Sepsis due to Staphylococcus aureus
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,Sepsis due to Methicillin resistant Staphylococcus aureus,Sepsis due to Staphylococcus aureus
A411,Sepsis due to other specified staphylococcus,Sepsis due to other specified staphylococcus,Sepsis due to other specified staphylococcus
A412,Sepsis due to unspecified staphylococcus,Sepsis due to unspecified staphylococcus,Sepsis due to unspecified staphylococcus
A413,Sepsis due to Hemophilus influenzae,Sepsis due to Hemophilus influenzae,Sepsis due to Hemophilus influenzae
A414,Sepsis due to anaerobes,Sepsis due to anaerobes,Sepsis due to anaerobes
A4150,"Gram-negative sepsis, unspecified","Gram-negative sepsis, unspecified",Sepsis due to other Gram-negative organisms
A4151,Sepsis due to Escherichia coli [E. coli],Sepsis due to Escherichia coli [E. coli],Sepsis due to other Gram-negative organisms
A4152,Sepsis due to Pseudomonas,Sepsis due to Pseudomonas,Sepsis due to other Gram-negative organisms
A4153,Sepsis due to Serratia,Sepsis due to Serratia,Sepsis due to other Gram-negative organisms
A4159,Other Gram-negative sepsis,Other Gram-negative sepsis,Sepsis due to other Gram-negative organisms
A4181,Sepsis due to Enterococcus,Sepsis due to Enterococcus,Other specified sepsis
A4189,Other specified sepsis,Other specified sepsis,Other specified sepsis
A419,"Sepsis, unspecified organism","Sepsis, unspecified organism","Sepsis, unspecified organism"
A420,Pulmonary actinomycosis,Pulmonary actinomycosis,Actinomycosis
A421,Abdominal actinomycosis,Abdominal actinomycosis,Actinomycosis
A422,Cervicofacial actinomycosis,Cervicofacial actinomycosis,Actinomycosis
A427,Actinomycotic sepsis,Actinomycotic sepsis,Actinomycosis
A4281,Actinomycotic meningitis,Actinomycotic meningitis,Other forms of actinomycosis
A4282,Actinomycotic encephalitis,Actinomycotic encephalitis,Other forms of actinomycosis
A4289,Other forms of actinomycosis,Other forms of actinomycosis,Other forms of actinomycosis
A429,"Actinomycosis, unspecified","Actinomycosis, unspecified","Actinomycosis, unspecified"
A430,Pulmonary nocardiosis,Pulmonary nocardiosis,Nocardiosis
A431,Cutaneous nocardiosis,Cutaneous nocardiosis,Nocardiosis
A438,Other forms of nocardiosis,Other forms of nocardiosis,Nocardiosis
A439,"Nocardiosis, unspecified","Nocardiosis, unspecified",Nocardiosis
A440,Systemic bartonellosis,Systemic bartonellosis,Bartonellosis
A441,Cutaneous and mucocutaneous bartonellosis,Cutaneous and mucocutaneous bartonellosis,Bartonellosis
A448,Other forms of bartonellosis,Other forms of bartonellosis,Bartonellosis
A449,"Bartonellosis, unspecified","Bartonellosis, unspecified",Bartonellosis
A46,Erysipelas,Erysipelas,Erysipelas
A480,Gas gangrene,Gas gangrene,"Other bacterial diseases, not elsewhere classified"
A481,Legionnaires' disease,Legionnaires' disease,"Other bacterial diseases, not elsewhere classified"
A482,Nonpneumonic Legionnaires' disease [Pontiac fever],Nonpneumonic Legionnaires' disease [Pontiac fever],"Other bacterial diseases, not elsewhere classified"
A483,Toxic shock syndrome,Toxic shock syndrome,"Other bacterial diseases, not elsewhere classified"
A484,Brazilian purpuric fever,Brazilian purpuric fever,"Other bacterial diseases, not elsewhere classified"
A4851,Infant botulism,Infant botulism,Other specified botulism
A4852,Wound botulism,Wound botulism,Other specified botulism
A488,Other specified bacterial diseases,Other specified bacterial diseases,Other specified bacterial diseases
A4901,"Methicillin suscep staph infection, unsp site","Methicillin susceptible Staphylococcus aureus infection, unspecified site","Staphylococcal infection, unspecified site"
A4902,"Methicillin resis staph infection, unsp site","Methicillin resistant Staphylococcus aureus infection, unspecified site","Staphylococcal infection, unspecified site"
A491,"Streptococcal infection, unspecified site","Streptococcal infection, unspecified site","Streptococcal infection, unspecified site"
A492,"Hemophilus influenzae infection, unspecified site","Hemophilus influenzae infection, unspecified site","Hemophilus influenzae infection, unspecified site"
A493,"Mycoplasma infection, unspecified site","Mycoplasma infection, unspecified site","Mycoplasma infection, unspecified site"
A498,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site
A499,"Bacterial infection, unspecified","Bacterial infection, unspecified","Bacterial infection, unspecified"
A5001,Early congenital syphilitic oculopathy,Early congenital syphilitic oculopathy,"Early congenital syphilis, symptomatic"
A5002,Early congenital syphilitic osteochondropathy,Early congenital syphilitic osteochondropathy,"Early congenital syphilis, symptomatic"
A5003,Early congenital syphilitic pharyngitis,Early congenital syphilitic pharyngitis,"Early congenital syphilis, symptomatic"
A5004,Early congenital syphilitic pneumonia,Early congenital syphilitic pneumonia,"Early congenital syphilis, symptomatic"
A5005,Early congenital syphilitic rhinitis,Early congenital syphilitic rhinitis,"Early congenital syphilis, symptomatic"
A5006,Early cutaneous congenital syphilis,Early cutaneous congenital syphilis,"Early congenital syphilis, symptomatic"
A5007,Early mucocutaneous congenital syphilis,Early mucocutaneous congenital syphilis,"Early congenital syphilis, symptomatic"
A5008,Early visceral congenital syphilis,Early visceral congenital syphilis,"Early congenital syphilis, symptomatic"
A5009,"Other early congenital syphilis, symptomatic","Other early congenital syphilis, symptomatic","Early congenital syphilis, symptomatic"
A501,"Early congenital syphilis, latent","Early congenital syphilis, latent","Early congenital syphilis, latent"
A502,"Early congenital syphilis, unspecified","Early congenital syphilis, unspecified","Early congenital syphilis, unspecified"
A5030,"Late congenital syphilitic oculopathy, unspecified","Late congenital syphilitic oculopathy, unspecified",Late congenital syphilitic oculopathy
A5031,Late congenital syphilitic interstitial keratitis,Late congenital syphilitic interstitial keratitis,Late congenital syphilitic oculopathy
A5032,Late congenital syphilitic chorioretinitis,Late congenital syphilitic chorioretinitis,Late congenital syphilitic oculopathy
A5039,Other late congenital syphilitic oculopathy,Other late congenital syphilitic oculopathy,Late congenital syphilitic oculopathy
A5040,"Late congenital neurosyphilis, unspecified","Late congenital neurosyphilis, unspecified",Late congenital neurosyphilis [juvenile neurosyphilis]
A5041,Late congenital syphilitic meningitis,Late congenital syphilitic meningitis,Late congenital neurosyphilis [juvenile neurosyphilis]
A5042,Late congenital syphilitic encephalitis,Late congenital syphilitic encephalitis,Late congenital neurosyphilis [juvenile neurosyphilis]
A5043,Late congenital syphilitic polyneuropathy,Late congenital syphilitic polyneuropathy,Late congenital neurosyphilis [juvenile neurosyphilis]
A5044,Late congenital syphilitic optic nerve atrophy,Late congenital syphilitic optic nerve atrophy,Late congenital neurosyphilis [juvenile neurosyphilis]
A5045,Juvenile general paresis,Juvenile general paresis,Late congenital neurosyphilis [juvenile neurosyphilis]
